date,team1,team2,goal1,goal2,is_finished,play_day
2019-08-16T20:30:00,FC Bayern,Hertha BSC,2,2,True,1
2019-08-17T15:30:00,Borussia Dortmund,FC Augsburg,5,1,True,1
2019-08-17T15:30:00,Bayer Leverkusen,SC Paderborn 07,3,2,True,1
2019-08-17T15:30:00,VfL Wolfsburg,1. FC Köln,2,1,True,1
2019-08-17T15:30:00,Werder Bremen,Fortuna Düsseldorf,1,3,True,1
2019-08-17T15:30:00,SC Freiburg,1. FSV Mainz 05,3,0,True,1
2019-08-17T18:30:00,Borussia Mönchengladbach,FC Schalke 04,0,0,True,1
2019-08-18T15:30:00,Eintracht Frankfurt,TSG 1899 Hoffenheim,1,0,True,1
2019-08-18T18:00:00,1. FC Union Berlin,RB Leipzig,0,4,True,1
2019-08-23T20:30:00,1. FC Köln,Borussia Dortmund,1,3,True,2
2019-08-24T15:30:00,TSG 1899 Hoffenheim,Werder Bremen,3,2,True,2
2019-08-24T15:30:00,Fortuna Düsseldorf,Bayer Leverkusen,1,3,True,2
2019-08-24T15:30:00,1. FSV Mainz 05,Borussia Mönchengladbach,1,3,True,2
2019-08-24T15:30:00,FC Augsburg,1. FC Union Berlin,1,1,True,2
2019-08-24T15:30:00,SC Paderborn 07,SC Freiburg,1,3,True,2
2019-08-24T18:30:00,FC Schalke 04,FC Bayern,0,3,True,2
2019-08-25T15:30:00,RB Leipzig,Eintracht Frankfurt,2,1,True,2
2019-08-25T18:00:00,Hertha BSC,VfL Wolfsburg,0,3,True,2
2019-08-30T20:30:00,Borussia Mönchengladbach,RB Leipzig,1,3,True,3
2019-08-31T15:30:00,FC Bayern,1. FSV Mainz 05,6,1,True,3
2019-08-31T15:30:00,Bayer Leverkusen,TSG 1899 Hoffenheim,0,0,True,3
2019-08-31T15:30:00,VfL Wolfsburg,SC Paderborn 07,1,1,True,3
2019-08-31T15:30:00,SC Freiburg,1. FC Köln,1,2,True,3
2019-08-31T15:30:00,FC Schalke 04,Hertha BSC,3,0,True,3
2019-08-31T18:30:00,1. FC Union Berlin,Borussia Dortmund,3,1,True,3
2019-09-01T15:30:00,Werder Bremen,FC Augsburg,3,2,True,3
2019-09-01T18:00:00,Eintracht Frankfurt,Fortuna Düsseldorf,2,1,True,3
2019-09-13T20:30:00,Fortuna Düsseldorf,VfL Wolfsburg,1,1,True,4
2019-09-14T15:30:00,Borussia Dortmund,Bayer Leverkusen,4,0,True,4
2019-09-14T15:30:00,1. FSV Mainz 05,Hertha BSC,2,1,True,4
2019-09-14T15:30:00,FC Augsburg,Eintracht Frankfurt,2,1,True,4
2019-09-14T15:30:00,1. FC Köln,Borussia Mönchengladbach,0,1,True,4
2019-09-14T15:30:00,1. FC Union Berlin,Werder Bremen,1,2,True,4
